state	act_participation_2017	act_participation_2018	act_english_2017	act_english_2018	act_math_2017	act_math_2018	act_reading_2017	act_reading_2018	act_science_2017	act_science_2018	act_composite_2017	act_composite_2018	sat_participation_2017	sat_participation_2018	sat_erw_2017	sat_erw_2018	sat_math_2017	sat_math_2018	sat_total_2017	sat_total_2018	sat_participation_improvement_from_2017	act_participation_improvement_from_2017	total_participation_2017	total_participation_2018	SAT_participation_ratio_2017	SAT_participation_ratio_2018
Alabama	1.0	1.0	18.9	18.9	18.4	18.3	19.7	19.6	19.4	19.0	19.2	19.1	0.05	0.06	593	595	572	571	1165	1166	0.009999999999999995	0.0	1.05	1.06	0.047619047619047616	0.056603773584905655
Alaska	0.65	0.33	18.7	19.8	19.8	20.6	20.4	21.6	19.9	20.7	19.8	20.8	0.38	0.43	547	562	533	544	1080	1106	0.04999999999999999	-0.32	1.03	0.76	0.36893203883495146	0.5657894736842105
Arizona	0.62	0.66	18.6	18.2	19.8	19.4	20.1	19.5	19.8	19.2	19.7	19.2	0.3	0.29	563	577	553	572	1116	1149	-0.010000000000000009	0.040000000000000036	0.9199999999999999	0.95	0.32608695652173914	0.30526315789473685
Arkansas	1.0	1.0	18.9	19.1	19.0	18.9	19.7	19.7	19.5	19.4	19.4	19.4	0.03	0.05	614	592	594	576	1208	1169	0.020000000000000004	0.0	1.03	1.05	0.029126213592233007	0.047619047619047616
California	0.31	0.27	22.5	22.5	22.7	22.5	23.1	23.0	22.2	22.1	22.8	22.7	0.53	0.6	531	540	524	536	1055	1076	0.06999999999999995	-0.03999999999999998	0.8400000000000001	0.87	0.6309523809523809	0.689655172413793
Colorado	1.0	0.3	20.1	23.9	20.3	23.2	21.2	24.4	20.9	23.5	20.8	23.9	0.11	1.0	606	519	595	506	1201	1025	0.89	-0.7	1.11	1.3	0.09909909909909909	0.7692307692307692
Connecticut	0.31	0.26	25.5	26.0	24.6	24.8	25.6	26.1	24.6	24.9	25.2	25.6	1.0	1.0	530	535	512	519	1041	1053	0.0	-0.04999999999999999	1.31	1.26	0.7633587786259541	0.7936507936507936
Delaware	0.18	0.17	24.1	23.7	23.4	23.1	24.8	24.5	23.6	23.4	24.1	23.2	1.0	1.0	503	505	492	492	996	998	0.0	-0.009999999999999981	1.18	1.17	0.8474576271186441	0.8547008547008548
District of Columbia	0.32	0.32	24.4	23.7	23.5	22.7	24.9	24.4	23.5	23.0	24.2	23.6	1.0	0.92	482	497	468	480	950	977	-0.07999999999999996	0.0	1.32	1.24	0.7575757575757576	0.7419354838709677
Florida	0.73	0.66	19.0	19.2	19.4	19.3	21.0	21.1	19.4	19.5	19.8	19.9	0.83	0.56	520	550	497	549	1017	1099	-0.2699999999999999	-0.06999999999999995	1.56	1.2200000000000002	0.532051282051282	0.4590163934426229
